Zeitstempel;Ladezustand [%];Solarproduktion [W];Batterie Laden [W];Batterie Entladen [W];Netzeinspeisung [W];Netzbezug [W];"Summe ext. Produktion
  [W]";Summe Produktion [W];Hausverbrauch [W];Wallbox_Gewächshaus Laden [W];Summe Verbrauch [W];Abregelungsgrenze [W];PV (geschätzt) [W];BHKW (geschätzt) [W]
01.01.2024 00:00:00;100;0;0;18;2760;0;5213;5213;2454;0;2454;27954;0;5300
01.01.2024 01:00:00;100;0;0;17;2958;0;5127;5127;2169;0;2169;27669;0;5300
01.01.2024 02:00:00;100;0;0;17;3136;0;5144;5144;2008;0;2008;27508;0;5300
01.01.2024 03:00:00;100;0;0;470;2339;40;3844;3844;1979;0;1979;27479;0;5300
01.01.2024 04:00:00;89;0;0;1996;2;2;0;0;1886;0;1886;27386;0;5300
01.01.2024 05:00:00;94;0;1865;721;11;8;3400;3400;2110;0;2110;27610;0;5300
01.01.2024 06:00:00;100;0;1388;5;1407;1;5113;5113;2255;0;2255;27755;0;5300
01.01.2024 07:00:00;100;0;0;17;2912;0;5082;5082;2171;0;2171;27671;0;5300
01.01.2024 08:00:00;100;0;0;17;3191;0;5213;5213;2022;0;2022;27522;0;5300
01.01.2024 09:00:00;100;0;0;17;3429;0;5193;5193;1765;0;1765;27265;0;5300
01.01.2024 10:00:00;100;0;0;17;5093;0;6336;6336;1243;0;1243;26743;6336;0
01.01.2024 11:00:00;100;0;0;17;5640;0;6951;6951;1311;0;1311;26811;6951;0
01.01.2024 12:00:00;100;0;0;17;6444;0;7852;7852;1408;0;1408;26908;7852;0
01.01.2024 13:00:00;100;0;0;17;8299;0;8796;8796;513;0;513;26013;8796;0
01.01.2024 14:00:00;100;0;0;17;8503;0;8058;8058;65;0;65;25565;8058;0
01.01.2024 15:00:00;100;0;0;17;7170;0;7110;7110;158;0;158;25658;7110;0
01.01.2024 16:00:00;100;0;0;17;4477;0;5727;5727;1250;0;1250;26750;427;5300
01.01.2024 17:00:00;100;0;0;17;1725;0;5125;5125;3400;0;3400;28900;0;5300
01.01.2024 18:00:00;100;0;0;228;903;10;5221;5221;4520;0;4520;30020;0;5300
01.01.2024 19:00:00;100;0;0;69;941;8;5154;5154;4259;0;4259;29759;0;5300
01.01.2024 20:00:00;100;0;0;33;2502;0;5147;5147;2655;0;2655;28155;0;5300
01.01.2024 21:00:00;100;0;0;17;2814;0;5215;5215;2401;0;2401;27901;0;5300
01.01.2024 22:00:00;100;0;0;17;2618;0;5095;5095;2476;0;2476;27976;0;5300
01.01.2024 23:00:00;100;0;0;17;2833;0;5091;5091;2258;0;2258;27758;0;5300
02.01.2024 00:00:00;100;0;0;17;2953;0;5195;5195;2242;0;2242;27742;0;5300
02.01.2024 01:00:00;96;0;0;276;2662;40;4426;4426;2051;0;2051;27551;0;5300
02.01.2024 02:00:00;88;0;0;2006;2;2;0;0;1895;0;1895;27395;0;0
02.01.2024 03:00:00;79;0;0;2040;2;2;0;0;1924;0;1924;27424;0;0
02.01.2024 04:00:00;71;0;0;1926;3;2;0;0;1817;0;1817;27317;0;0
02.01.2024 05:00:00;78;0;2257;374;12;10;4168;4168;2129;0;2129;27629;0;5300
02.01.2024 06:00:00;90;0;2632;0;8;8;5115;5115;2342;0;2342;27842;0;5300
02.01.2024 07:00:00;99;0;2246;0;527;4;5211;5211;2324;0;2324;27824;0;5300
02.01.2024 08:00:00;100;0;31;17;2661;0;5124;5124;2430;0;2430;27930;0;5300
02.01.2024 09:00:00;100;0;0;38;2079;9;5122;5122;3071;0;3071;28571;0;5300
02.01.2024 10:00:00;100;0;0;19;3013;0;5351;5351;2336;0;2336;27836;5351;0
02.01.2024 11:00:00;100;0;0;17;3631;3;5594;5594;1966;0;1966;27466;5594;0
02.01.2024 12:00:00;100;0;0;17;5137;0;6426;6426;1288;0;1288;26788;6426;0
02.01.2024 13:00:00;100;0;0;17;4931;0;7044;7044;2113;0;2113;27613;7044;0
02.01.2024 14:00:00;100;0;0;17;4405;0;6057;6057;1651;0;1651;27151;6057;0
02.01.2024 15:00:00;100;0;0;17;3926;0;5729;5729;1803;0;1803;27303;5729;0
02.01.2024 16:00:00;100;0;0;17;1529;0;5334;5334;3806;0;3806;29306;34;5300
02.01.2024 17:00:00;100;0;0;88;93;7;5102;5102;5075;0;5075;30575;0;5300
02.01.2024 18:00:00;95;0;0;779;22;21;5108;5108;5829;0;5829;31329;0;5300
02.01.2024 19:00:00;96;0;965;639;34;36;5133;5133;4713;0;4713;30213;0;5300
02.01.2024 20:00:00;100;0;755;10;1520;0;5223;5223;2915;0;2915;28415;0;5300
02.01.2024 21:00:00;100;0;0;17;2301;0;5134;5134;2833;0;2833;28333;0;5300
02.01.2024 22:00:00;100;0;0;175;826;10;5133;5133;4466;0;4466;29966;0;5300
02.01.2024 23:00:00;95;0;92;897;202;6;5204;5204;5747;0;5747;31247;0;5300
03.01.2024 00:00:00;98;0;648;0;30;8;5101;5101;4385;0;4385;29885;0;5300
03.01.2024 01:00:00;83;0;76;3884;5;58;637;637;4195;0;4195;29695;0;0
